Ewe/V	<I>/mA	time/s
-3.7668851E-001	-8.117850281258270E-004	7.291769827173994E+001
-3.5982949E-001	-7.778592202388988E-004	7.308589826749085E+001
-3.4301257E-001	-7.308886285968632E-004	7.325429826323671E+001
-3.2619831E-001	-7.848814448560906E-004	7.342259825898509E+001
-3.0929717E-001	-7.498944404546251E-004	7.359089825473347E+001
-2.9244518E-001	-9.744394429772128E-004	7.375939825047681E+001
-2.7561095E-001	-8.517214011017470E-004	7.392789824622014E+001
-2.5876963E-001	-9.310632107542762E-004	7.409629824196600E+001
-2.4181043E-001	-8.289866234107036E-004	7.426499823770428E+001
-2.2498144E-001	-7.953586585899113E-004	7.443409823343245E+001
-2.0819281E-001	-7.615665569207248E-004	7.460259822917578E+001
-1.9127421E-001	-7.103176940870559E-004	7.477079822492669E+001
-1.7432031E-001	-5.831909543756921E-004	7.493969822065992E+001
-1.5765442E-001	-8.376696458437796E-004	7.510789821641083E+001
-1.4071465E-001	-7.078701740742821E-004	7.527569821217185E+001
-1.2407707E-001	-6.513986871782224E-004	7.544369820792781E+001
-1.0703453E-001	-6.832592896866760E-004	7.561149820368883E+001
-9.0340219E-002	-7.186838769087695E-004	7.577979819943721E+001
-7.3579825E-002	-5.792175672021083E-004	7.594799819518812E+001
-5.6552917E-002	-7.327531312620291E-004	7.611649819093145E+001
-3.9868414E-002	-6.438712004437537E-004	7.628509818667226E+001
-2.2975361E-002	-4.874906905821420E-004	7.645309818242822E+001
-1.1613895E-002	-5.400788903935725E-004	7.656709817954834E+001
-8.4814020E-003	-4.345349152572453E-004	7.659739817878290E+001
-4.3447334E-003	-6.275528991681757E-004	7.668359817660530E+001
-1.6591659E-002	-8.209020451800803E-004	7.685229817234358E+001
-3.3605620E-002	-7.718408262543976E-004	7.702109816807933E+001
-5.0436396E-002	-8.616776644901764E-004	7.718969816382014E+001
-6.7115091E-002	-9.498312450610322E-004	7.735799815956852E+001
-8.3944209E-002	-1.027542872087176E-003	7.752619815531943E+001
-1.0085435E-001	-9.326090378646741E-004	7.769459815106529E+001
-1.1753804E-001	-1.156430362965716E-003	7.786369814679347E+001
-1.3444079E-001	-1.132598219586844E-003	7.803179814254690E+001
-1.5129904E-001	-1.197603451383530E-003	7.819999813829781E+001
-1.6810654E-001	-1.192183195335240E-003	7.836879813403357E+001
-1.8500130E-001	-1.100690658613986E-003	7.853779812976427E+001
-2.0180695E-001	-1.107437218270158E-003	7.870689812549244E+001
-2.1882255E-001	-1.061722731905470E-003	7.887609812121809E+001
-2.3568574E-001	-1.228554253158286E-003	7.904559811693616E+001
-2.5242680E-001	-1.211942153185631E-003	7.921399811268202E+001
-2.6944676E-001	-1.310777233358752E-003	7.938239810842788E+001
-2.8619179E-001	-1.248788693385084E-003	7.955139810415858E+001
-3.0304852E-001	-1.155955256567282E-003	7.971969809990696E+001
-3.1989434E-001	-1.109685842502669E-003	7.988789809565787E+001
-3.3664647E-001	-1.240326211179255E-003	8.005619809140626E+001
