cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      9.015203E+00
Amp1(mV):       0.000000E+00
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     7.450581E+01
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 4.851074E-01  -5.588188E-06   1.998848E-01
 4.849854E-01  -5.588049E-06   2.015232E-01
 4.848633E-01  -5.587909E-06   2.031616E-01
 4.847412E-01  -5.588049E-06   2.048000E-01
 4.846191E-01  -5.587909E-06   2.064384E-01
 4.844971E-01  -5.587769E-06   2.080768E-01
 4.843750E-01  -5.587909E-06   2.097152E-01
 4.842529E-01  -5.587769E-06   2.113536E-01
 4.841309E-01  -5.587629E-06   2.129920E-01
 4.840088E-01  -5.587769E-06   2.146304E-01
 4.838867E-01  -5.587629E-06   2.162688E-01
 4.837646E-01  -5.587489E-06   2.179072E-01
 4.836426E-01  -5.587629E-06   2.195456E-01
 4.835205E-01  -5.587489E-06   2.211840E-01
 4.833984E-01  -5.587349E-06   2.228224E-01
 4.832764E-01  -5.587489E-06   2.244608E-01
 4.831543E-01  -5.587349E-06   2.260992E-01
 4.830322E-01  -5.587210E-06   2.277376E-01
 4.829102E-01  -5.587349E-06   2.293760E-01
 4.827881E-01  -5.587210E-06   2.310144E-01
 4.826660E-01  -5.587070E-06   2.326528E-01
 4.825439E-01  -5.587210E-06   2.342912E-01
 4.824219E-01  -5.587070E-06   2.359296E-01
 4.822998E-01  -5.586930E-06   2.375680E-01
 4.821777E-01  -5.587070E-06   2.392064E-01
 4.820557E-01  -5.586930E-06   2.408448E-01
 4.819336E-01  -5.586790E-06   2.424832E-01
 4.818115E-01  -5.586930E-06   2.441216E-01
 4.816895E-01  -5.586790E-06   2.457600E-01
 4.815674E-01  -5.586650E-06   2.473984E-01
 4.814453E-01  -5.586790E-06   2.490368E-01
 4.813232E-01  -5.586650E-06   2.506752E-01
 4.812012E-01  -5.586510E-06   2.523136E-01
 4.810791E-01  -5.586650E-06   2.539520E-01
 4.809570E-01  -5.586510E-06   2.555904E-01
 4.808350E-01  -5.586371E-06   2.572288E-01
 4.807129E-01  -5.586510E-06   2.588672E-01
 4.805908E-01  -5.586371E-06   2.605056E-01
 4.804688E-01  -5.586231E-06   2.621440E-01
 4.803467E-01  -5.586371E-06   2.637824E-01
 4.802246E-01  -5.586231E-06   2.654208E-01
 4.801025E-01  -5.586091E-06   2.670592E-01
 4.799805E-01  -5.586231E-06   2.686976E-01
 4.798584E-01  -5.586091E-06   2.703360E-01
 4.797363E-01  -5.585951E-06   2.719744E-01
 4.796143E-01  -5.586091E-06   2.736128E-01
 4.794922E-01  -5.585951E-06   2.752512E-01
 4.793701E-01  -5.585811E-06   2.768896E-01
 4.792480E-01  -5.585951E-06   2.785280E-01
 4.791260E-01  -5.585811E-06   2.801664E-01
 4.790039E-01  -5.585671E-06   2.818048E-01
 4.788818E-01  -5.585811E-06   2.834432E-01
 4.787598E-01  -5.585671E-06   2.850816E-01
 4.786377E-01  -5.585531E-06   2.867200E-01
 4.785156E-01  -5.585671E-06   2.883584E-01
 4.783936E-01  -5.585531E-06   2.899968E-01
 4.782715E-01  -5.585392E-06   2.916352E-01
 4.781494E-01  -5.585531E-06   2.932736E-01
 4.780273E-01  -5.585392E-06   2.949120E-01
 4.779053E-01  -5.585252E-06   2.965504E-01
 4.777832E-01  -5.585392E-06   2.981888E-01
 4.776611E-01  -5.585252E-06   2.998272E-01
 4.775391E-01  -5.585112E-06   3.014656E-01
 4.774170E-01  -5.585252E-06   3.031040E-01
 4.772949E-01  -5.585112E-06   3.047424E-01
 4.771729E-01  -5.584972E-06   3.063808E-01
 4.770508E-01  -5.585112E-06   3.080192E-01
 4.769287E-01  -5.584972E-06   3.096576E-01
 4.768066E-01  -5.584832E-06   3.112960E-01
 4.766846E-01  -5.584972E-06   3.129344E-01
 4.765625E-01  -5.584832E-06   3.145728E-01
 4.764404E-01  -5.584692E-06   3.162112E-01
 4.763184E-01  -5.584832E-06   3.178496E-01
 4.761963E-01  -5.584692E-06   3.194880E-01
 4.760742E-01  -5.584553E-06   3.211264E-01
 4.759521E-01  -5.584692E-06   3.227648E-01
 4.758301E-01  -5.584553E-06   3.244032E-01
 4.757080E-01  -5.584413E-06   3.260416E-01
 4.755859E-01  -5.584553E-06   3.276800E-01
 4.754639E-01  -5.584413E-06   3.293184E-01
 4.753418E-01  -5.584273E-06   3.309568E-01
 4.752197E-01  -5.584413E-06   3.325952E-01
 4.750977E-01  -5.584273E-06   3.342336E-01
 4.749756E-01  -5.584133E-06   3.358720E-01
 4.748535E-01  -5.584273E-06   3.375104E-01
 4.747314E-01  -5.584133E-06   3.391488E-01
 4.746094E-01  -5.583993E-06   3.407872E-01
 4.744873E-01  -5.584133E-06   3.424256E-01
 4.743652E-01  -5.583993E-06   3.440640E-01
 4.742432E-01  -5.583853E-06   3.457024E-01
 4.741211E-01  -5.583993E-06   3.473408E-01
 4.739990E-01  -5.583853E-06   3.489792E-01
 4.738770E-01  -5.583713E-06   3.506176E-01
 4.737549E-01  -5.583853E-06   3.522560E-01
 4.736328E-01  -5.583713E-06   3.538944E-01
 4.735107E-01  -5.583574E-06   3.555328E-01
 4.733887E-01  -5.583713E-06   3.571712E-01
 4.732666E-01  -5.583574E-06   3.588096E-01
 4.731445E-01  -5.583434E-06   3.604480E-01
 4.730225E-01  -5.583574E-06   3.620864E-01
 4.729004E-01  -5.583434E-06   3.637248E-01
 4.727783E-01  -5.583294E-06   3.653632E-01
 4.726562E-01  -5.583434E-06   3.670016E-01
 4.725342E-01  -5.583294E-06   3.686400E-01
 4.724121E-01  -5.583154E-06   3.702784E-01
 4.722900E-01  -5.583294E-06   3.719168E-01
 4.721680E-01  -5.583154E-06   3.735552E-01
 4.720459E-01  -5.583014E-06   3.751936E-01
 4.719238E-01  -5.583154E-06   3.768320E-01
 4.718018E-01  -5.583014E-06   3.784704E-01
 4.716797E-01  -5.582874E-06   3.801088E-01
 4.715576E-01  -5.583014E-06   3.817472E-01
 4.714355E-01  -5.582874E-06   3.833856E-01
 4.713135E-01  -5.582735E-06   3.850240E-01
 4.711914E-01  -5.582874E-06   3.866624E-01
 4.710693E-01  -5.582735E-06   3.883008E-01
 4.709473E-01  -5.582595E-06   3.899392E-01
 4.708252E-01  -5.582735E-06   3.915776E-01
 4.707031E-01  -5.582595E-06   3.932160E-01
 4.705811E-01  -5.582455E-06   3.948544E-01
 4.704590E-01  -5.582595E-06   3.964928E-01
 4.703369E-01  -5.582455E-06   3.981312E-01
 4.702148E-01  -5.582315E-06   3.997696E-01
 4.700928E-01  -5.582455E-06   4.014080E-01
 4.699707E-01  -5.582315E-06   4.030464E-01
 4.698486E-01  -5.582175E-06   4.046848E-01
 4.697266E-01  -5.582315E-06   4.063232E-01
 4.696045E-01  -5.582175E-06   4.079616E-01
 4.694824E-01  -5.582035E-06   4.096000E-01
 4.693604E-01  -5.582175E-06   4.112384E-01
 4.692383E-01  -5.582035E-06   4.128768E-01
 4.691162E-01  -5.581895E-06   4.145152E-01
 4.689941E-01  -5.582035E-06   4.161536E-01
 4.688721E-01  -5.581895E-06   4.177920E-01
 4.687500E-01  -5.581756E-06   4.194304E-01
 4.686279E-01  -5.581895E-06   4.210688E-01
 4.685059E-01  -5.581756E-06   4.227072E-01
 4.683838E-01  -5.581616E-06   4.243456E-01
 4.682617E-01  -5.581756E-06   4.259840E-01
 4.681396E-01  -5.581616E-06   4.276224E-01
 4.680176E-01  -5.581476E-06   4.292608E-01
 4.678955E-01  -5.581616E-06   4.308992E-01
 4.677734E-01  -5.581476E-06   4.325376E-01
 4.676514E-01  -5.581336E-06   4.341760E-01
 4.675293E-01  -5.581476E-06   4.358144E-01
 4.674072E-01  -5.581336E-06   4.374528E-01
 4.672852E-01  -5.581196E-06   4.390912E-01
 4.671631E-01  -5.581336E-06   4.407296E-01
 4.670410E-01  -5.581196E-06   4.423680E-01
 4.669189E-01  -5.581056E-06   4.440064E-01
 4.667969E-01  -5.581196E-06   4.456448E-01
 4.666748E-01  -5.581056E-06   4.472832E-01
 4.665527E-01  -5.580917E-06   4.489216E-01
 4.664307E-01  -5.581056E-06   4.505600E-01
 4.663086E-01  -5.580917E-06   4.521984E-01
 4.661865E-01  -5.580777E-06   4.538368E-01
 4.660645E-01  -5.580917E-06   4.554752E-01
 4.659424E-01  -5.580777E-06   4.571136E-01
 4.658203E-01  -5.580637E-06   4.587520E-01
 4.656982E-01  -5.580777E-06   4.603904E-01
 4.655762E-01  -5.580637E-06   4.620288E-01
 4.654541E-01  -5.580497E-06   4.636672E-01
 4.653320E-01  -5.580637E-06   4.653056E-01
 4.652100E-01  -5.580497E-06   4.669440E-01
 4.650879E-01  -5.580357E-06   4.685824E-01
 4.649658E-01  -5.580497E-06   4.702208E-01
 4.648438E-01  -5.580357E-06   4.718592E-01
 4.647217E-01  -5.580217E-06   4.734976E-01
