cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      2.201647E+01
Amp1(mV):       8.000000E+01
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     7.450581E+01
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 4.416782E-01  -1.580955E-04   1.183744E-01
 4.381681E-01  -1.520696E-04   1.187840E-01
 4.348281E-01  -1.520648E-04   1.191936E-01
 4.316688E-01  -1.430199E-04   1.196032E-01
 4.287001E-01  -1.342650E-04   1.200128E-01
 4.259317E-01  -1.255956E-04   1.204224E-01
 4.233721E-01  -1.168829E-04   1.208320E-01
 4.210296E-01  -1.080487E-04   1.212416E-01
 4.189116E-01  -9.904975E-05   1.216512E-01
 4.170248E-01  -8.986645E-05   1.220608E-01
 4.153751E-01  -8.049460E-05   1.224704E-01
 4.139677E-01  -7.094158E-05   1.228800E-01
 4.128071E-01  -6.122166E-05   1.232896E-01
 4.118968E-01  -5.135385E-05   1.236992E-01
 4.112398E-01  -4.136087E-05   1.241088E-01
 4.108379E-01  -3.126754E-05   1.245184E-01
 4.106925E-01  -2.110026E-05   1.249280E-01
 4.108038E-01  -1.088703E-05   1.253376E-01
 4.111715E-01  -6.558371E-07   1.257472E-01
 4.117942E-01   9.564788E-06   1.261568E-01
 4.126698E-01   1.974633E-05   1.265664E-01
 4.137955E-01   2.985973E-05   1.269760E-01
 4.151674E-01   3.987649E-05   1.273856E-01
 4.167812E-01   4.976806E-05   1.277952E-01
 4.186316E-01   5.950541E-05   1.282048E-01
 4.207124E-01   6.906159E-05   1.286144E-01
 4.230170E-01   7.840862E-05   1.290240E-01
 4.255378E-01   8.751904E-05   1.294336E-01
 4.282667E-01   9.636694E-05   1.298432E-01
 4.311948E-01   1.049254E-04   1.302528E-01
 4.343125E-01   1.131702E-04   1.306624E-01
 4.376098E-01   1.210758E-04   1.310720E-01
 4.410761E-01   1.286181E-04   1.314816E-01
 4.447000E-01   1.357743E-04   1.318912E-01
 4.484699E-01   1.425222E-04   1.323008E-01
 4.523735E-01   1.488401E-04   1.327104E-01
 4.563983E-01   1.547081E-04   1.331200E-01
 4.605311E-01   1.601065E-04   1.335296E-01
 4.647588E-01   1.650173E-04   1.339392E-01
 4.690675E-01   1.694234E-04   1.343488E-01
 4.734433E-01   1.733092E-04   1.347584E-01
 4.778722E-01   1.766601E-04   1.351680E-01
 4.823398E-01   1.794631E-04   1.355776E-01
 4.868316E-01   1.817066E-04   1.359872E-01
 4.913332E-01   1.833808E-04   1.363968E-01
 4.958300E-01   1.844766E-04   1.368064E-01
 5.003074E-01   1.849878E-04   1.372160E-01
 5.047511E-01   1.849092E-04   1.376256E-01
 5.091466E-01   1.842373E-04   1.380352E-01
